RelativePath,AuditStatus,HardConstraintsPassed,MaxPowerResidualKW,MaxStorageResidualKG,MaxStorageLowerViolationKG,MaxStorageUpperViolationKG,MaxHBLowerViolation,MaxHBUpperViolation,MaxHBRampViolation,BuySellOverlapKWh,CO2MarginKG,TerminalBacklogKG,MaxBacklogKG
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_gate_2022_latest.mat,audited,1,5.23868948221207e-10,3.54702933691442e-11,1.00044417195022e-11,1.81898940354586e-12,0,0,3.21964677141295e-15,0,3.72529029846191e-09,21709.6984585136,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_hb005_gate_2022_latest.mat,audited,1,5.71162672713399e-10,2.27373675443232e-11,9.09494701772928e-13,0,0,0,3.05311331771918e-15,0,-2.60770320892334e-08,52365.1330581869,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_hb010_gate_2022_latest.mat,audited,1,5.96628524363041e-10,3.36513039655983e-11,8.18545231595635e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-2.23517417907715e-08,64406.6235902747,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_hb020_gate_2022_latest.mat,audited,0,7.74889485910535e-10,3.50155460182577e-11,3.63797880709171e-12,0,0,0,4.85167461761193e-14,0,-3764.53502403572,103995.619296134,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp025_gate_2022_latest.mat,audited,1,8.58562998473644e-10,4.13820089306682e-11,8.18545231595635e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-2.60770320892334e-08,9695.54272352494,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp025_hb005_gate_2022_latest.mat,audited,1,8.51287040859461e-10,2.27373675443232e-11,5.91171556152403e-12,0,0,0,3.05311331771918e-15,0,-2.23517417907715e-08,41764.2440099402,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp025_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.45563569478691e-11,3.63797880709171e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-475.108890023082,50851.5779267186,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp025_hb020_gate_2022_latest.mat,audited,0,1.34969013743103e-09,3.1377567211166e-11,3.63797880709171e-12,0,0,0,4.85167461761193e-14,0,-3764.53502403945,89023.2402233455,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp050_gate_2022_latest.mat,audited,1,8.58562998473644e-10,4.13820089306682e-11,1.00044417195022e-11,1.81898940354586e-12,0,0,5.88418203051333e-15,0,0,1988.73034563827,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp050_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,3.63797880709171e-12,0,0,0,3.83026943495679e-15,0,-237.721025422215,33637.6578358315,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp050_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.45563569478691e-11,4.54747350886464e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-2072.69336257875,39754.2322929592,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_cp050_hb020_gate_2022_latest.mat,audited,0,1.34969013743103e-09,3.1377567211166e-11,5.45696821063757e-12,0,0,0,4.85167461761193e-14,0,-3802.36281003058,78365.0515357154,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_gate_2022_latest.mat,audited,1,8.58562998473644e-10,4.13820089306682e-11,1.09139364212751e-11,1.81898940354586e-12,0,0,3.21964677141295e-15,0,1.11758708953857e-08,11042.0812154005,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_hb005_gate_2022_latest.mat,audited,1,5.71162672713399e-10,2.27373675443232e-11,5.45696821063757e-12,0,0,0,3.05311331771918e-15,0,-1.86264514923096e-08,42603.0469637748,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_hb010_gate_2022_latest.mat,audited,1,5.71162672713399e-10,2.45563569478691e-11,6.82121026329696e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-2.23517417907715e-08,51890.1075882314,1457974.65732877
